,R,G,B
731,149.2772,101.33800000000001,40.884
732,150.43040000000002,102.1988,41.702000000000005
733,151.5444,102.908,42.306000000000004
734,151.842,103.02560000000001,42.5672
735,151.2712,102.76960000000001,42.592
736,151.2196,102.7132,42.868
737,151.50320000000002,103.0524,42.747600000000006
738,151.74360000000001,103.3652,43.4724
739,151.07,103.452,43.272800000000004
740,150.758,103.14120000000001,42.4108
741,149.52280000000002,102.91040000000001,41.8888
742,148.7416,102.25,42.528800000000004
743,148.0532,101.518,42.0992
744,147.8076,101.8212,44.0084
745,147.6568,101.34320000000001,42.682
746,146.7032,100.78160000000001,43.1876
747,146.394,100.6192,43.3312
748,145.3272,99.7812,43.108000000000004
749,144.1156,99.2836,42.3992
750,143.7036,99.452,42.9896
751,143.5924,99.7748,43.2188
752,144.0968,99.8228,44.286
753,143.9796,100.126,44.3324
754,143.7884,100.29520000000001,44.3312
755,144.08,100.4136,45.0332
756,144.2648,100.54400000000001,44.1004
757,144.79240000000001,100.4976,44.433600000000006
758,144.46120000000002,100.7288,44.962
759,144.79760000000002,100.9208,44.126000000000005
760,145.178,100.8532,44.5992
761,144.8616,101.2372,44.040400000000005
762,145.63920000000002,101.22680000000001,44.2304
763,145.4784,101.12400000000001,43.525200000000005
764,145.454,101.0704,42.4656
765,144.618,100.6528,42.2584
766,145.3024,100.92800000000001,43.1704
767,144.5848,101.4628,43.5232
768,145.2852,102.06,44.9664
769,145.756,102.61280000000001,44.3496
770,147.3056,104.2784,46.272000000000006
771,145.5504,103.78760000000001,49.82
772,135.3008,97.0304,50.262800000000006
773,124.7672,88.8364,49.9348
774,114.12440000000001,82.34320000000001,50.275600000000004
775,100.5348,74.6764,48.9052
776,88.284,66.84400000000001,48.314800000000005
777,81.68440000000001,63.28,47.623200000000004
778,80.85640000000001,61.674,47.6764
779,80.8596,60.8316,48.4472
780,82.8872,62.236000000000004,48.896
781,90.2936,66.4988,49.900800000000004
782,100.8656,73.94680000000001,50.452000000000005
783,112.69640000000001,81.97800000000001,50.5664
784,121.3952,88.8972,49.722
785,129.6824,95.0556,48.0308
786,137.39360000000002,100.8888,51.1436
787,144.1676,107.30760000000001,52.0724
788,149.01080000000002,111.15960000000001,52.786
789,149.00560000000002,111.0788,52.6184
790,148.14960000000002,110.804,53.124
791,147.6788,109.882,52.0628
792,147.2116,109.3096,52.552400000000006
793,147.70080000000002,109.48360000000001,52.131600000000006
794,147.966,109.336,51.607200000000006
795,147.82,109.604,52.0724
796,147.5332,109.5248,52.2864
797,148.8124,110.7724,52.867200000000004
798,150.63760000000002,111.87280000000001,54.5936
799,151.952,112.15360000000001,53.739200000000004
800,153.27880000000002,113.708,55.9684
801,153.0736,114.25120000000001,55.3796
802,153.09120000000001,113.84920000000001,55.958400000000005
803,152.1548,113.976,57.3564
804,152.2224,114.35640000000001,57.9568
805,152.10240000000002,115.00880000000001,59.7676
806,151.978,114.85000000000001,60.588800000000006
807,151.5936,114.7064,61.7676
808,152.35160000000002,115.1684,61.784800000000004
809,152.81560000000002,115.40400000000001,61.842000000000006
810,152.7852,115.50200000000001,62.1248
811,153.374,115.61720000000001,62.82040000000001
812,153.50400000000002,115.5724,62.7948
813,152.4888,114.65520000000001,61.434000000000005
814,152.1912,114.00160000000001,60.741600000000005
815,151.73600000000002,113.25720000000001,59.6272
816,151.18640000000002,112.8596,59.084
