R,G,B
155.9496,108.2488,65.74680000000001
155.27800000000002,106.8764,64.66760000000001
155.216,106.81800000000001,63.9112
156.1472,108.52120000000001,66.3356
154.9028,106.5252,63.9504
155.1288,107.49080000000001,65.1748
155.1288,107.49080000000001,65.1748
155.95680000000002,108.53240000000001,66.46520000000001
154.4052,106.52720000000001,64.44800000000001
154.7404,108.016,66.13600000000001
155.75320000000002,108.5616,66.8612
154.5008,106.5708,64.284
155.51520000000002,108.7008,66.89280000000001
154.7404,106.99640000000001,64.9064
155.44400000000002,108.99000000000001,67.94720000000001
155.87800000000001,108.2796,66.45
154.5352,107.37920000000001,65.032
154.5352,107.37920000000001,65.032
155.7584,109.6088,68.016
155.9216,108.35520000000001,66.68560000000001
154.8748,107.9376,65.81400000000001
156.20680000000002,109.5484,67.8
155.5932,108.37400000000001,66.6752
155.0428,108.28880000000001,66.3724
155.0316,107.96480000000001,66.3024
154.6792,109.0004,68.15480000000001
156.436,110.1076,68.9388
155.18120000000002,108.3908,67.3716
155.18120000000002,108.3908,67.3716
154.7088,108.68440000000001,66.6924
154.8232,108.8832,67.456
153.1604,106.2376,64.7508
153.2056,106.86240000000001,65.8116
151.7948,106.7004,65.2472
150.0608,104.4276,63.2044
150.7036,105.61880000000001,64.888
149.17000000000002,103.206,62.788000000000004
150.8016,105.3028,64.74640000000001
150.8016,105.3028,64.74640000000001
149.8872,104.474,64.0296
149.4668,103.21640000000001,63.3896
150.9168,105.51320000000001,64.7964
150.6728,104.0644,62.522400000000005
150.0428,103.7488,62.1828
151.96800000000002,105.6384,64.36
151.36960000000002,103.74600000000001,61.790800000000004
151.304,104.1264,62.0092
152.2744,105.81880000000001,64.4404
151.8868,104.8696,63.135600000000004
151.8868,104.8696,63.135600000000004
153.0264,105.44720000000001,63.677600000000005
151.23520000000002,103.66040000000001,61.991200000000006
151.9128,105.32440000000001,64.0912
152.5772,105.97120000000001,64.1828
151.39960000000002,104.49600000000001,62.7672
152.97480000000002,106.3656,64.8056
153.5044,106.3236,64.83160000000001
152.0572,105.06400000000001,63.083200000000005
153.4984,107.21560000000001,65.3464
153.18880000000001,106.4192,63.6
152.13320000000002,104.81320000000001,63.06
153.648,107.1824,65.46600000000001
153.44,105.748,63.5692
152.0244,105.3292,62.8372
153.7028,107.35000000000001,65.8044
153.2392,105.31960000000001,63.1584
152.732,105.61240000000001,64.1784
154.026,107.5956,65.8708
152.83960000000002,105.56960000000001,63.2136
153.3488,106.25840000000001,64.4888
154.3536,107.65400000000001,65.5216
152.7176,105.38680000000001,63.702400000000004
153.35,106.8396,66.436
154.40040000000002,107.7376,67.25
153.1788,105.9492,63.884
154.05360000000002,107.42840000000001,66.81920000000001
154.1916,107.6936,67.0364
152.8748,106.1192,64.9712
153.7784,108.1136,67.254
153.4556,107.194,66.6108
152.4452,105.6872,64.4632
153.95600000000002,107.5056,66.644
153.3272,106.20360000000001,65.048
153.24200000000002,105.6268,64.7144
154.4376,107.7776,66.5548
153.9704,106.23400000000001,65.08760000000001
153.3548,106.2928,65.08720000000001
154.9296,108.27680000000001,67.114
153.7276,106.24080000000001,65.0492
153.3544,107.02000000000001,65.45320000000001
154.7544,108.41640000000001,67.7856
154.1988,106.43440000000001,65.5988
153.9348,107.85000000000001,68.0476
154.7024,108.968,69.784
153.1476,107.52000000000001,69.518
154.0812,109.882,72.9588
154.1608,110.5248,73.8788
152.27800000000002,109.5604,74.20960000000001
153.86,111.80160000000001,77.5592
153.2836,111.9492,78.23960000000001
151.5696,111.0532,78.45880000000001
151.96120000000002,112.7304,80.988
151.3084,111.2356,80.31360000000001
149.2168,109.9632,79.2936
149.63400000000001,111.2384,81.3892
147.5196,108.5716,79.0128
145.98760000000001,107.06240000000001,77.288
145.9796,107.18,78.20320000000001
144.6636,104.17,75.28200000000001
143.85160000000002,104.71560000000001,76.178
145.0044,105.79360000000001,77.602
144.1748,103.5964,73.2568
145.01080000000002,104.92960000000001,73.998
147.1576,105.97840000000001,74.3972
147.30880000000002,104.3236,70.7696
149.6956,105.86680000000001,71.802
151.37,106.95360000000001,71.1312
151.4556,105.44760000000001,68.3152
153.6972,107.7376,69.0888
155.2784,108.5176,66.73960000000001
156.108,107.6388,64.5376
158.95600000000002,110.65520000000001,65.7004
160.672,110.2308,64.8356
160.9068,109.96440000000001,64.08120000000001
162.6596,112.8096,66.1556
162.9092,111.926,64.3908
162.8972,112.384,65.4732
164.88320000000002,115.2864,68.3784
164.6004,113.9084,66.6712
164.4464,114.1032,67.536
164.88760000000002,115.32560000000001,68.92920000000001
163.4708,113.20400000000001,66.284
163.648,113.8636,67.7716
163.7684,114.99680000000001,68.86840000000001
162.7156,112.8824,66.8104
